ofs,nom,coefficient,canton,annee
2321,Attalens,78.5,Fribourg,2025
2173,Autigny,90.0,Fribourg,2025
2174,Avry,69.1,Fribourg,2025
2162,Bas-Intyamon,83.2,Fribourg,2025
2175,Belfaux,84.0,Fribourg,2025
2053,Belmont-Broye,78.0,Fribourg,2025
2063,Billens-Hennens,95.0,Fribourg,2025
2238,Bois-d'Amont,85.0,Fribourg,2025
2323,Bossonnens,90.0,Fribourg,2025
2123,Botterens,85.0,Fribourg,2025
2124,Broc,92.0,Fribourg,2025
2292,Brünisried,89.0,Fribourg,2025
2125,Bulle,74.3,Fribourg,2025
2295,Bösingen,76.0,Fribourg,2025
2055,Cheyres-Châbles,70.0,Fribourg,2025
2325,Châtel-Saint-Denis,83.6,Fribourg,2025
2128,Châtel-sur-Montsalvens,79.5,Fribourg,2025
2008,Châtillon (FR),65.0,Fribourg,2025
2068,Châtonnaye,85.0,Fribourg,2025
2177,Chénens,91.7,Fribourg,2025
2129,Corbières,73.5,Fribourg,2025
2183,Corminboeuf,75.0,Fribourg,2025
2186,Cottens (FR),80.0,Fribourg,2025
2250,Courgevaux,76.0,Fribourg,2025
2254,Courtepin,80.0,Fribourg,2025
2257,Cressier (FR),68.0,Fribourg,2025
2130,Crésuz,67.0,Fribourg,2025
2011,Cugy (FR),85.0,Fribourg,2025
2051,Delley-Portalban,49.9,Fribourg,2025
2293,Düdingen,82.0,Fribourg,2025
2131,Echarlens,70.0,Fribourg,2025
2054,Estavayer,84.0,Fribourg,2025
2194,Ferpicloz,55.0,Fribourg,2025
2196,Fribourg,80.0,Fribourg,2025
2258,Fräschels,75.0,Fribourg,2025
2016,Fétigny,86.0,Fribourg,2025
2236,Gibloux,82.0,Fribourg,2025
2294,Giffers,85.9,Fribourg,2025
2197,Givisiez,70.0,Fribourg,2025
2022,Gletterens,68.9,Fribourg,2025
2134,Grandvillard,80.0,Fribourg,2025
2328,Granges (Veveyse),84.0,Fribourg,2025
2198,Granges-Paccot,67.8,Fribourg,2025
2079,Grangettes,85.0,Fribourg,2025
2261,Greng,32.0,Fribourg,2025
2239,Grolley-Ponthaux,80.0,Fribourg,2025
2135,Gruyères,80.0,Fribourg,2025
2262,Gurmels,80.0,Fribourg,2025
2121,Haut-Intyamon,97.0,Fribourg,2025
2233,Hauterive (FR),74.0,Fribourg,2025
2137,Hauteville,77.7,Fribourg,2025
