ofs,nom,coefficient
5401,Aigle,66.0
5402,Bex,71.0
5403,Chessel,65.0
5404,Corbeyrier,74.0
5405,Gryon,73.5
5406,Lavey-Morcles,71.5
5407,Leysin,78.0
5408,Noville,75.0
5409,Ollon,68.0
5410,Ormont-Dessous,77.0
5411,Ormont-Dessus,76.0
5412,Rennaz,64.0
5413,Roche (VD),66.5
5414,Villeneuve (VD),66.5
5415,Yvorne,71.5
5451,Avenches,65.0
5663,Bussy-sur-Moudon,78.5
5812,Champtauroz,77.0
5665,Chavannes-sur-Moudon,70.0
5813,Chevroux,68.5
5785,Corcelles-le-Jorat,75.0
5816,Corcelles-près-Payerne,65.0
5456,Cudrefin,59.0
5669,Curtilles,71.0
5671,Dompierre (VD),78.0
5458,Faoug,65.0
5817,Grandcour,72.0
5819,Henniez,69.0
5673,Hermenches,78.0
5674,Lovatens,75.0
5675,Lucens,69.5
5821,Missy,69.0
5678,Moudon,72.5
5822,Payerne,70.0
5683,Prévonloup,72.5
5798,Ropraz,77.5
5684,Rossenges,65.0
5688,Syens,65.0
5827,Trey,78.0
5831,Valbroye,70.5
5690,Villars-le-Comte,68.0
5830,Villarzel,75.0
5692,Vucherens,75.0
5803,Vulliens,74.0
5464,Vully-les-Lacs,67.0
5511,Assens,70.0
5512,Bercher,79.0
5471,Bettens,70.0
5514,Bottens,72.5
5661,Boulens,71.5
5472,Bournens,65.0
5473,Boussens,64.0
5515,Bretigny-sur-Morrens,76.0
5516,Cugy (VD),76.0
5480,Daillens,66.0
5518,Echallens,72.5
5520,Essertines-sur-Yverdon,72.0
5521,Etagnières,73.0
5522,Fey,75.0
5523,Froideville,72.0
5541,Goumoëns,75.5
5804,Jorat-Menthue,70.5
5487,Lussery-Villars,75.0
5489,Mex (VD),59.5
5693,Montanaire,70.0
5540,Montilliez,72.5
5527,Morrens (VD),74.0
5680,Ogens,76.0
5923,Oppens,79.0
5529,Oulens-sous-Echallens,71.0
5530,Pailly,76.0
5495,Penthalaz,72.5
5496,Penthaz,69.5
5531,Penthéréaz,74.0
5533,Poliez-Pittet,73.0
5534,Rueyres,73.0
5535,Saint-Barthélemy (VD),77.0
5501,Sullens,64.0
5537,Villars-le-Terroir,76.0
5539,Vuarrens,73.5
5503,Vufflens-la-Ville,65.0
5742,Agiez,76.0
5743,Arnex-sur-Orbe,71.0
