ofs,nom,annee,pop_totale,pop_65plus,pop_80plus,part_65plus,part_80plus
6621,Genève,2024,209061,33356,11144,16.0,5.3
5586,Lausanne,2024,144873,20871,6992,14.4,4.8
2196,Fribourg,2024,39151,6554,2171,16.7,5.5
6643,Vernier,2024,37837,5875,1815,15.5,4.8
6628,Lancy,2024,37259,5579,1942,15.0,5.2
5938,Yverdon-les-Bains,2024,30292,5565,1817,18.4,6.0
2125,Bulle,2024,27101,4163,1224,15.4,4.5
6630,Meyrin,2024,27059,4243,1476,15.7,5.5
5886,Montreux,2024,26955,5660,1976,21.0,7.3
5724,Nyon,2024,23351,3666,1167,15.7,5.0
6608,Carouge (GE),2024,22488,3553,1093,15.8,4.9
5591,Renens (VD),2024,21541,3123,964,14.5,4.5
5890,Vevey,2024,20142,3108,982,15.4,4.9
5590,Pully,2024,19538,4222,1654,21.6,8.5
6631,Onex,2024,18915,3641,1433,19.2,7.6
5642,Morges,2024,17701,3274,1273,18.5,7.2
6640,Thônex,2024,16809,3001,982,17.9,5.8
6612,Chêne-Bougeries,2024,14342,2760,1174,19.2,8.2
6644,Versoix,2024,13996,2311,757,16.5,5.4
5721,Gland,2024,13987,1887,490,13.5,3.5
5635,Ecublens (VD),2024,13364,2115,667,15.8,5.0
6623,Le Grand-Saconnex,2024,13062,2016,685,15.4,5.2
5889,La Tour-de-Peilz,2024,12812,2610,891,20.4,7.0
5589,Prilly,2024,12758,2162,802,16.9,6.3
2228,Villars-sur-Glâne,2024,12507,2241,652,17.9,5.2
5892,Blonay - Saint-Légier,2024,12464,2508,824,20.1,6.6
6633,Plan-les-Ouates,2024,12186,1853,529,15.2,4.3
6645,Veyrier,2024,12085,2331,894,19.3,7.4
5401,Aigle,2024,11752,2044,589,17.4,5.0
5624,Bussigny,2024,11632,1462,371,12.6,3.2
6607,Bernex,2024,11112,2137,713,19.2,6.4
5822,Payerne,2024,10758,1747,502,16.2,4.7
5606,Lutry,2024,10751,2462,871,22.9,8.1
5583,Crissier,2024,10676,1371,383,12.8,3.6
2054,Estavayer,2024,10623,1944,490,18.3,4.6
5584,Epalinges,2024,9905,1765,566,17.8,5.7
5627,Chavannes-près-Renens,2024,9774,953,272,9.8,2.8
6613,Chêne-Bourg,2024,9578,1548,449,16.2,4.7
2275,Murten,2024,9552,2074,599,21.7,6.3
5587,Le Mont-sur-Lausanne,2024,9531,1412,501,14.8,5.3
2206,Marly,2024,9242,1894,576,20.5,6.2
2293,Düdingen,2024,9116,2006,547,22.0,6.0
5402,Bex,2024,8841,1588,495,18.0,5.6
2325,Châtel-Saint-Denis,2024,8786,1231,322,14.0,3.7
6616,Collonge-Bellerive,2024,8643,1671,588,19.3,6.8
2236,Gibloux,2024,8393,1134,250,13.5,3.0
5409,Ollon,2024,8221,1559,380,19.0,4.6
2306,Tafers,2024,8026,1734,464,21.6,5.8
5757,Orbe,2024,7978,1269,398,15.9,5.0
5518,Echallens,2024,6719,1063,297,15.8,4.4
5678,Moudon,2024,6646,891,271,13.4,4.1
5861,Rolle,2024,6540,1019,391,15.6,6.0
5805,Oron,2024,6341,1082,308,17.1,4.9
2053,Belmont-Broye,2024,6148,871,202,14.2,3.3
2096,Romont (FR),2024,6124,883,270,14.4,4.4
5414,Villeneuve (VD),2024,6039,1064,299,17.6,5.0
6617,Cologny,2024,6027,1254,457,20.8,7.6
5646,Saint-Prex,2024,5865,979,240,16.7,4.1
2309,Wünnewil-Flamatt,2024,5814,1086,270,18.7,4.6
2254,Courtepin,2024,5772,787,192,13.6,3.3
2265,Kerzers,2024,5466,932,225,17.1,4.1
5613,Bourg-en-Lavaux,2024,5464,1182,339,21.6,6.2
5749,Chavornay,2024,5440,708,172,13.0,3.2
5643,Préverenges,2024,5260,1000,326,19.0,6.2
5648,Saint-Sulpice (VD),2024,5155,866,303,16.8,5.9
5568,Sainte-Croix,2024,5139,1314,408,25.6,7.9
5477,Cossonay,2024,4893,699,166,14.3,3.4
5451,Avenches,2024,4875,799,227,16.4,4.7
5582,Cheseaux-sur-Lausanne,2024,4847,864,265,17.8,5.5
5872,Le Chenit,2024,4753,1108,366,23.3,7.7
5675,Lucens,2024,4736,703,190,14.8,4.0
6638,Satigny,2024,4713,700,239,14.9,5.1
2262,Gurmels,2024,4675,879,189,18.8,4.0
2284,Mont-Vully,2024,4561,950,243,20.8,5.3
6618,Confignon,2024,4553,907,278,19.9,6.1
5656,Hautemorges,2024,4383,769,212,17.5,4.8
5592,Romanel-sur-Lausanne,2024,4321,721,189,16.7,4.4
5764,Vallorbe,2024,4319,742,206,17.2,4.8
2305,Schmitten (FR),2024,4285,860,244,20.1,5.7
5725,Prangins,2024,4271,830,242,19.4,5.7
6634,Pregny-Chambésy,2024,4262,730,260,17.1,6.1
6606,Bellevue,2024,4105,533,128,13.0,3.1
2198,Granges-Paccot,2024,3983,444,105,11.1,2.6
5581,Belmont-sur-Lausanne,2024,3915,626,176,16.0,4.5
5422,Aubonne,2024,3856,696,217,18.0,5.6
5717,Founex,2024,3763,561,166,14.9,4.4
2321,Attalens,2024,3693,552,139,14.9,3.8
2299,Plaffeien,2024,3693,886,245,24.0,6.6
5407,Leysin,2024,3659,587,139,16.0,3.8
5841,Château-d'Oex,2024,3653,867,269,23.7,7.4
5464,Vully-les-Lacs,2024,3627,705,183,19.4,5.0
5939,Yvonand,2024,3524,704,215,20.0,6.1
5611,Savigny,2024,3517,703,181,20.0,5.1
2102,Ursy,2024,3502,526,138,15.0,3.9
2197,Givisiez,2024,3457,477,110,13.8,3.2
