canton,nom_clean,type,lits,lat,lon,ofs,commune,geo_source
Vaud,Hopital Vallee Joux,EMS,44.0,,,,,search.ch
Vaud,Clos D'Aubonne,EMS,56.0,46.45504379272461,6.858290672302246,5889,La Tour-de-Peilz,adresse
Vaud,Boissonnet,EMS,106.0,46.53853988647461,6.645976543426514,5586,Lausanne,search.ch
Vaud,Rozavere,EMS,161.0,46.5298349,6.6550918,5586,Lausanne,OSM
Vaud,Paix Soir,EMS,84.0,46.563507080078125,6.630030632019043,5587,Le Mont-sur-Lausanne,search.ch
Vaud,Joli-Bois,EMS,54.0,46.45440673828125,6.909332752227783,5886,Montreux,search.ch
Vaud,Pelerin,EMS,87.0,46.513571,6.6386538,5586,Lausanne,OSM
Vaud,Jura,EMS,39.0,46.78076934814453,6.636506080627441,5938,Yverdon-les-Bains,search.ch
Vaud,Quatre Marronniers,EMS,144.0,46.77695083618164,6.648441314697266,5938,Yverdon-les-Bains,adresse
Vaud,Residence Diablerets,EMS,22.0,46.35200119018555,7.15616512298584,5411,Ormont-Dessus,search.ch
Vaud,Boveresses,EMS,42.0,46.537628173828125,6.666221618652344,5586,Lausanne,search.ch
Vaud,Chantemerle,EMS,22.0,46.467041015625,6.315688133239746,5862,Tartegnin,search.ch
Vaud,Arcades,EMS,29.0,46.52351760864258,6.565329551696777,5635,Ecublens (VD),search.ch
Vaud,Cdt Baud,EMS,44.0,46.5546402,6.4303856,5656,Hautemorges,OSM
Vaud,Baumettes,EMS,111.0,46.54166412353515,6.589841365814209,5591,Renens (VD),search.ch
Vaud,Cerisiers,EMS,44.0,46.47152328491211,7.121198654174805,5841,Château-d'Oex,search.ch
Vaud,Beau-Sejour,EMS,48.0,46.4603156,6.8493404,5890,Vevey,OSM
Vaud,Faverge,EMS,52.0,46.5298349,6.6550918,5586,Lausanne,OSM
Vaud,Residence Aigle,EMS,77.0,46.7738309,6.6636973,5938,Yverdon-les-Bains,OSM
Vaud,Beau-Site,EMS,54.0,46.380977630615234,6.239143371582031,5724,Nyon,search.ch
Vaud,Coteau Muraz,EMS,36.0,46.4429142,6.896849,5886,Montreux,OSM
Vaud,Maillon,EMS,28.0,,,,,search.ch
Vaud,Midi,EMS,49.0,46.317962646484375,6.966464042663574,5401,Aigle,search.ch
Vaud,Bourgogne,EMS,32.0,46.392333984375,6.228654384613037,5724,Nyon,search.ch
Vaud,Nelty Beausobre,EMS,50.0,46.5161612,6.4978725,5642,Morges,OSM
Vaud,Marc-Aurele,EMS,35.0,46.88151931762695,7.043534278869629,5451,Avenches,search.ch
Vaud,Penthalaz,EMS,70.0,46.60986328125,6.5246453285217285,5495,Penthalaz,search.ch
Vaud,Miremont,EMS,26.0,46.34181213378906,7.008700847625732,5407,Leysin,search.ch
Vaud,Petit Flon,EMS,77.0,46.542381286621094,6.624753952026367,5586,Lausanne,search.ch
Vaud,Novalles Chateau,EMS,50.0,46.462650299072266,6.881534099578857,5892,Blonay - Saint-Légier,search.ch
Vaud,Rosiers,EMS,30.0,46.46110153198242,6.892592430114746,5892,Blonay - Saint-Légier,search.ch
Vaud,Corcelles Chateau,EMS,33.0,46.84584045410156,6.7070183753967285,5555,Corcelles-près-Concise,search.ch
Vaud,Residence Le Petit Bois Sa Non Rip,EMS,24.0,,,,,
Vaud,Signal,EMS,24.0,46.72077178955078,6.538760185241699,5757,Orbe,search.ch
Vaud,Clair-Soleil,EMS,94.0,46.529903411865234,6.557836532592773,5635,Ecublens (VD),search.ch
Vaud,Joli Automne,EMS,17.0,46.53300476074219,6.560039043426514,5635,Ecublens (VD),search.ch
Vaud,Praz Joret,EMS,26.0,46.58361053466797,6.77152156829834,5806,Jorat-Mézières,search.ch
