nom_clean,type,lits,lat,lon,geo_source,ofs,commune
Résidence Amitié,EMS,52.0,46.20990654149734,6.138709383539071,SITG,6621,Genève
Résidence des Arénières,EMS,86.0,46.20053040948281,6.127553430907345,SITG,6621,Genève
Résidence Beauregard,EMS,34.0,46.17942483960809,6.089181045756228,SITG,6618,Confignon
Foyer Béthel,EMS,65.0,46.185046190873194,6.1054228451769905,SITG,6631,Onex
Résidence de Bon-Séjour,EMS,92.0,46.28454367698576,6.164258988583278,SITG,6644,Versoix
Les Bruyères,EMS,73.0,46.19041662766497,6.154016135018989,SITG,6621,Genève
Butini Village (anc. Résidence Butini),EMS,132.0,46.18256071268118,6.1018605740619805,SITG,6631,Onex
Résidence de La Champagne,EMS,,46.14290137130998,6.04036539845688,SITG,6639,Soral
Les Charmettes,EMS,92.0,46.18267082326619,6.085922565793681,SITG,6607,Bernex
Les Charmilles,EMS,92.0,46.208364702925394,6.120475750826722,SITG,6621,Genève
Résidence Les Châtaigniers,EMS,114.0,46.16366630186718,6.182409334737227,SITG,6645,Veyrier
Résidence La Châtelaine,EMS,87.0,46.21110552581774,6.107985893343629,SITG,6643,Vernier
EMS La Coccinelle,EMS,60.0,46.19086995318254,6.198379968088308,SITG,6613,Chêne-Bourg
Butini Patio (anc. Résidence de la Rive),EMS,48.0,46.18006898408147,6.101261000039675,SITG,6631,Onex
Résidence de Drize,EMS,60.0,46.17043204773139,6.140477530921303,SITG,6645,Veyrier
Foyer Eynard-Fatio,EMS,95.0,46.204963713573676,6.183105297264364,SITG,6612,Chêne-Bougeries
Résidence Fort-Barreau,EMS,71.0,46.21152404031943,6.139876174074671,SITG,6621,Genève
Résidence des Franchises,EMS,70.0,46.212603450555584,6.12022149181877,SITG,6621,Genève
Résidence Happy Days,EMS,60.0,46.16523786239308,6.120927555329943,SITG,6633,Plan-les-Ouates
Résidence Jura,EMS,50.0,46.22923024982635,6.06822847835893,SITG,6630,Meyrin
Les Lauriers,EMS,61.0,46.21255368094702,6.130385335356685,SITG,6621,Genève
Le Léman ,EMS,28.0,46.243612154103204,6.199204958640246,SITG,6616,Collonge-Bellerive
Résidence Liotard,EMS,81.0,46.21417731607551,6.126127872766512,SITG,6621,Genève
Résidence La Louvière,EMS,61.0,46.21881980078661,6.256288006778452,SITG,6635,Presinge
MRPS,EMS,,46.22156107569058,6.122446283012022,SITG,6621,Genève
Résidence Mandement,EMS,45.0,46.21329805682072,6.033186393269338,SITG,6638,Satigny
Les Marronniers,EMS,63.0,46.19601269360315,6.18924311532277,SITG,6612,Chêne-Bougeries
La Méridienne,EMS,23.0,46.180751472636864,6.18366774576956,SITG,6640,Thônex
Pension Les Mimosas,EMS,29.0,46.271417019830224,6.158652192286375,SITG,6622,Genthod
Villa Mona,EMS,50.0,46.194219068613826,6.208289252971372,SITG,6640,Thônex
Les Mouilles,EMS,78.0,46.18646373037307,6.1104571520044475,SITG,6628,Lancy
Résidence Notre-Dame,EMS,80.0,46.21402132681722,6.146168514870882,SITG,6621,Genève
Le Nouveau Kermont,EMS,70.0,46.24682383241314,6.1409120060205815,SITG,6634,Pregny-Chambésy
Résidence les Pervenches,EMS,72.0,46.18726846850921,6.135779067361426,SITG,6608,Carouge (GE)
La Petite-Boissière,EMS,65.0,46.199823733319064,6.170101634102733,SITG,6621,Genève
Résidence Pierre de la fée,EMS,76.0,46.2228671497349,6.107958248596418,SITG,6630,Meyrin
Les Pins,EMS,60.0,46.22781975378716,6.1170781340170315,SITG,6623,Le Grand-Saconnex
Résidence La Plaine,EMS,92.0,46.17803020813722,5.997755022528845,SITG,6620,Dardagny
Résidence Plantamour,EMS,51.0,46.209318548892696,6.148448177107144,SITG,6621,Genève
Résidence Poterie,EMS,73.0,46.21118820201259,6.134463640657711,SITG,6621,Genève
Le Nouveau Prieuré,EMS,144.0,46.203945705837704,6.182731558745216,SITG,6612,Chêne-Bougeries
La Provvidenza,EMS,64.0,46.18306412979598,6.139554000627834,SITG,6608,Carouge (GE)
Résidence de Saconnay,EMS,54.0,46.239172713517355,6.124053522864857,SITG,6623,Le Grand-Saconnex
EMS Saint-Loup,EMS,80.0,46.281256786873094,6.165963527480081,SITG,6644,Versoix
Foyer Saint-Paul,EMS,86.0,46.20304851995197,6.176972991043676,SITG,6617,Cologny
EMS Stella,EMS,60.0,46.21897737571864,6.145913178339426,SITG,6621,Genève
La Terrassière,EMS,90.0,46.20107266393694,6.156713364203727,SITG,6621,Genève
Résidence Les Tilleuls,EMS,55.0,46.2189692497957,6.1264367227389815,SITG,6621,Genève
Maison de la Tour,EMS,20.0,46.30134420443304,6.245517818456539,SITG,6625,Hermance
"Val Fleuri, lieu de vie - EMS",EMS,208.0,46.18269015618584,6.157350906723582,SITG,6621,Genève
Foyer du Vallon,EMS,60.0,46.1958062316502,6.185086015075742,SITG,6612,Chêne-Bougeries
Résidence La Vendée,EMS,65.0,46.189479832487834,6.12218847990351,SITG,6628,Lancy
Villa Mandement,EMS,30.0,46.2120808969709,6.037163398851276,SITG,6638,Satigny
Maison de Vessy,EMS,20.0,46.178349616338885,6.16082659211623,SITG,6645,Veyrier
