no_ua,nom,nom_clean,type,entite,lits,lits_geriatrie,lits_psy_age,lits_mixte,lits_psy_adulte,commentaire,lat,lon,geo_source,ofs,commune
6,HOPITAL AUBONNE (EHC),Hopital Aubonne,EMS,ENSEMBLE HOSPITALIER DE LA COTE (EHC),20,20.0,,,,Fermeture prévue en T4 2024,46.894012451171875,6.772919654846191,adresse,5566,Provence
27,HOPITAL VALLEE JOUX (POLE SANTE VALLEE DE JOUX),Hopital Vallee Joux,EMS,POLE SANTE VALLEE DE JOUX,44,44.0,,,,,46.90198516845703,6.581567764282227,adresse,5562,Mauborget
197,CLOS D'AUBONNE EMS,Clos D'Aubonne,EMS,ENSEMBLE HOSPITALIER DE LA COTE (EHC),56,56.0,,,,Ouverture prévue en T4 2024,46.45504379272461,6.858290672302246,adresse,5889,La Tour-de-Peilz
202,BOISSONNET EMS,Boissonnet,EMS,FONDATION LOUIS BOISSONNET,106,106.0,,,,,46.536712646484375,6.648270606994629,adresse,5586,Lausanne
207,ROZAVERE (ROZAVERE) EMS,Rozavere,EMS,FONDATION LA ROZAVERE,161,161.0,,,,,46.5298349,6.6550918,OSM,5586,Lausanne
209,PAIX SOIR (PAIX SOIR) EMS,Paix Soir,EMS,ASSOCIATION LA PAIX DU SOIR,84,84.0,,,,,46.494266510009766,6.716559410095215,adresse,5613,Bourg-en-Lavaux
216,JOLI-BOIS (PRIMEROSE) EMS,Joli-Bois,EMS,FONDATION LA PRIMEROSE,54,54.0,,,,,46.237998962402344,6.850946426391602,adresse,5401,Aigle
221,PELERIN EMS,Pelerin,EMS,LA MAISON DU PELERIN,87,87.0,,,,,46.513571,6.6386538,OSM,5586,Lausanne
224,JURA (SAPHIR) EMS,Jura,EMS,FONDATION SAPHIR,39,39.0,,,,,46.73381423950195,6.4285993576049805,adresse,5744,Ballaigues
226,QUATRE MARRONNIERS EMS,Quatre Marronniers,EMS,FONDATION DES 4 MARRONNIERS,69,69.0,,,,,46.77695083618164,6.648441314697266,adresse,5938,Yverdon-les-Bains
229,RESIDENCE DIABLERETS (MRDA) EMS,Residence Diablerets,EMS,FONDATION DES MAISONS DE RETRAITE DU DISTRICT D'AIGLE,29,29.0,,,,,46.666534423828125,6.524510860443115,adresse,5493,Orny
231,BOVERESSES (TERTIANUM ) EMS,Boveresses,EMS,TERTIANUM VAUD SA,42,42.0,,,,Passe de EMS Boveresse SARL à Tertianum Vaud avec effet rétroactif au 01.01.2023,46.53366470336914,6.662147521972656,adresse,5586,Lausanne
233,CHANTEMERLE (ODYSSE) EMS,Chantemerle,EMS,RESIDENCES ODYSSE SA,22,22.0,,,,,46.73726272583008,6.443167686462402,adresse,5755,Lignerolle
238,ARCADES (ODYSSE) EMS,Arcades,EMS,RESIDENCES ODYSSE SA,29,29.0,,,,,46.850093841552734,6.847591876983643,adresse,5817,Grandcour
239,CDT BAUD EMS,Cdt Baud,EMS,FONDATION DU COMMANDANT BAUD,44,44.0,,,,,46.5546402,6.4303856,OSM,5656,Hautemorges
241,BAUMETTES EMS,Baumettes,EMS,FONDATION LES BAUMETTES,111,111.0,,,,,46.52928924560547,6.606355667114258,adresse,5589,Prilly
242,CERISIERS EMS,Cerisiers,EMS,FOREMS,44,44.0,,,,,,,,,
243,BEAU-SEJOUR EMS,Beau-Sejour,EMS,FONDATION BEAU-SEJOUR,48,48.0,,,,,46.4603156,6.8493404,OSM,5890,Vevey
244,FAVERGE EMS,Faverge,EMS,FONDATION RESIDENCE LA FAVERGE,52,52.0,,,,,46.5298349,6.6550918,OSM,5586,Lausanne
245,RESIDENCE AIGLE (MRDA) EMS,Residence Aigle,EMS,FONDATION DES MAISONS DE RETRAITE DU DISTRICT D'AIGLE,77,77.0,,,,,46.7738309,6.6636973,OSM,5938,Yverdon-les-Bains
246,BEAU-SITE (EBEN-HEZER) EMS,Beau-Site,EMS,FONDATION EBEN-HEZER,54,54.0,,,,,,,,,
247,COTEAU MURAZ (EBEN-HEZER) EMS,Coteau Muraz,EMS,FONDATION EBEN-HEZER,36,36.0,,,,,46.4429142,6.896849,OSM,5886,Montreux
248,MAILLON (EBEN-HEZER) EMS,Maillon,EMS,FONDATION EBEN-HEZER,28,28.0,,,,,,,,,
250,MIDI (MIDI) EMS,Midi,EMS,FONDATION DU MIDI,49,49.0,,,,,46.264610290527344,6.945651054382324,adresse,5409,Ollon
251,BOURGOGNE (MIDI) EMS,Bourgogne,EMS,FONDATION DU MIDI,32,32.0,,,,,46.975582122802734,6.805927276611328,adresse,5566,Provence
252,NELTY BEAUSOBRE (EHC) EMS,Nelty Beausobre,EMS,ENSEMBLE HOSPITALIER DE LA COTE (EHC),50,50.0,,,,,46.5161612,6.4978725,OSM,5642,Morges
253,MARC-AURELE EMS,Marc-Aurele,EMS,FONDATION MARC-AURELE,35,35.0,,,,,46.882381439208984,7.043341159820557,adresse,5451,Avenches
256,PENTHALAZ (VENOGE) EMS,Penthalaz,EMS,FONDATION LA VENOGE,70,70.0,,,,,46.605106353759766,6.527599811553955,adresse,5495,Penthalaz
257,MIREMONT (MAGNIN) EMS,Miremont,EMS,FONDATION CLAIRE MAGNIN,26,26.0,,,,,46.91830062866211,6.804935455322266,adresse,5813,Chevroux
259,PETIT FLON (BOIS-GENTIL) EMS,Petit Flon,EMS,FONDATION BOIS-GENTIL,77,77.0,,,,,46.54513931274414,6.627829551696777,adresse,5587,Le Mont-sur-Lausanne
311,NOVALLES CHATEAU EMS,Novalles Chateau,EMS,FONDATION CHÂTEAU DES NOVALLES,50,50.0,,,,,46.825252532958984,6.600762367248535,adresse,5564,Novalles
312,ROSIERS (BALCONS DU LAC) EMS,Rosiers,EMS,FONDATION BALCONS DU LAC,30,30.0,,,,,46.937477111816406,6.8282647132873535,adresse,5813,Chevroux
326,CORCELLES CHATEAU EMS,Corcelles Chateau,EMS,"ETABLISSEMENT MEDICO-SOCIAL ""LE CHATEAU DE CORCELLES""",33,33.0,,,,,46.84587860107422,6.706635475158691,adresse,5555,Corcelles-près-Concise
327,RESIDENCE LE PETIT BOIS SA EMS NON RIP,Residence Le Petit Bois Sa Non Rip,EMS,EMS LE PETIT BOIS SA,24,24.0,,,,,,,,,
329,SIGNAL (JORAT) EMS,Signal,EMS,FONDATION LES EMS DU JORAT,24,24.0,,,,,46.48428726196289,6.353913307189941,adresse,5426,Bougy-Villars
331,CLAIR-SOLEIL (ASILE AVEUGLES) EMS,Clair-Soleil,EMS,ASILE DES AVEUGLES,94,94.0,,,,,,,,,
333,JOLI AUTOMNE (TERTIANUM) EMS,Joli Automne,EMS,TERTIANUM VAUD SA,17,17.0,,,,,46.237998962402344,6.850946426391602,adresse,5401,Aigle
334,PRAZ JORET (JORAT) EMS,Praz Joret,EMS,FONDATION EMS DU JORAT,26,26.0,,,,,46.609310150146484,6.775485038757324,adresse,5806,Jorat-Mézières
342,QUATRE SAISONS BELLE S. EMS,Quatre Saisons Belle S.,EMS,FONDATION BELLE SAISON,20,20.0,,,,Réouverture prévue en S2 2024,,,,,
346,ECHALLENS (CHATEAUX) EMS,Echallens,EMS,FONDATION LES CHATEAUX,53,53.0,,,,,46.64763641357422,6.576770305633545,adresse,5529,Oulens-sous-Echallens
359,TILLEUL (MARRONNIER) EMS,Tilleul,EMS,FONDATION LE MARRONNIER,60,60.0,,,,,46.5334358215332,6.607204437255859,adresse,5589,Prilly
360,MARRONNIER (MARRONNIER) EMS,Marronnier,EMS,FONDATION LE MARRONNIER,56,56.0,,,,,,,,,
371,COTTIER BOYS EMS,Cottier Boys,EMS,CANTON VAUD,29,29.0,,,,,46.475276947021484,6.897104263305664,adresse,5892,Blonay - Saint-Légier
392,LAURELLES (BALCONS DU LAC) EMS,Laurelles,EMS,FONDATION BALCONS DU LAC,33,33.0,,,,,46.33331298828125,6.188403129577637,adresse,5717,Founex
394,RENAISSANCE LE PARC EMS,Renaissance Le Parc,EMS,RENAISSANCE LE PARC SA,24,24.0,,,,,,,,,
396,PHARE ELIM EMS,Phare Elim,EMS,ARMEE DU SALUT ELIM SA,44,44.0,,,,,46.4518224,6.8609663,OSM,5889,La Tour-de-Peilz
400,BERGES LEMAN (MAGNIN) EMS,Berges Leman,EMS,FONDATION CLAIRE MAGNIN,35,35.0,,,,,46.90673065185547,7.044142246246338,adresse,5451,Avenches
405,MAURICE BUGNON (SAPHIR) EMS,Maurice Bugnon,EMS,FONDATION SAPHIR,93,93.0,,,,,46.22048568725586,7.005281448364258,adresse,5402,Bex
409,LEMAN EMS,Leman,EMS,FONDATION RESIDENCE DU LEMAN,46,46.0,,,,,46.318359375,6.896126747131348,adresse,5415,Yvorne
442,GAMBETTA EMS,Gambetta,EMS,FONDATION GAMBETTA,45,45.0,,,,,46.44069290161133,6.895810604095459,adresse,5886,Montreux
446,MEILLERIE (ROZAVERE) EMS,Meillerie,EMS,FONDATION LA ROZAVERE,26,26.0,,,,,46.513571,6.6386538,OSM,5586,Lausanne
457,BYRON (TERTIANUM) EMS,Byron,EMS,TERTIANUM VAUD SA,42,42.0,,,,,46.40200424194336,6.927892684936523,adresse,5414,Villeneuve (VD)
471,PARC VALENCY (PLAINE) EMS,Parc Valency,EMS,FONDATION DE LA PLAINE,20,20.0,,,,,46.527130126953125,6.615554332733154,adresse,5586,Lausanne
486,JARDINS PLAINE (PLAINE) EMS,Jardins Plaine,EMS,FONDATION DE LA PLAINE,61,61.0,,,,,46.18474197387695,6.008272171020508,adresse,5723,Mies
489,GRACIEUSE EMS NON RIP,Gracieuse Non Rip,EMS,LE PARC SA,41,41.0,,,,,46.62034225463867,7.14158821105957,adresse,5843,Rougemont
493,TREMIERES EMS,Tremieres,EMS,RESIDENCE LES TREMIERES SA,28,28.0,,,,,46.605716705322266,6.4516425132751465,adresse,5475,Chavannes-le-Veyron
502,GRANDE FONTAINE (MRDA) EMS,Grande Fontaine,EMS,FONDATION DES MAISONS DE RETRAITE DU DISTRICT D'AIGLE,84,84.0,,,,,46.58518600463867,6.506763458251953,adresse,5484,Gollion
503,PRE PARISET (PRE PARISET) EMS,Pre Pariset,EMS,FONDATION PRE PARISET,82,82.0,,,,,,,,,
509,ODYSSE (ODYSSE) EMS,Odysse,EMS,RESIDENCES ODYSSE SA,53,53.0,,,,,,,,,
516,PALMIERS (BALCONS DU LAC) EMS,Palmiers,EMS,FONDATION BALCONS DU LAC,43,43.0,,,,,,,,,
519,PAIX DU SOIR SPAH,Paix Du Soir Spah,EMS,ASSOCIATION LA PAIX DU SOIR,30,30.0,,,,,46.494266510009766,6.716559410095215,adresse,5613,Bourg-en-Lavaux
520,PACIFIC convention RSLC,Pacific Convention Rslc,EMS,TERTIANUM ROMANDIE SA,80,80.0,,,,,,,,,
523,NOVA VITA EMS NON RIP,Nova Vita Non Rip,EMS,NOVA VITA RESIDENZ MONTREUX SA,10,10.0,,,,,46.4308142,6.9098476,OSM,5886,Montreux
525,PRE DE LA TOUR (PRE PARISET) EMS,Pre De La Tour,EMS,FONDATION PRE PARISET,50,50.0,,,,,46.51179504394531,6.658667087554932,adresse,5590,Pully
528,SAUVABELIN (BOIS-GENTIL) EMS,Sauvabelin,EMS,FONDATION BOIS-GENTIL,56,56.0,,,,,46.54972457885742,6.636134624481201,adresse,5587,Le Mont-sur-Lausanne
536,ROZAVERE SPAH,Rozavere Spah,EMS,FONDATION ROZAVERE,30,30.0,,,,,46.5298349,6.6550918,OSM,5586,Lausanne
208,PINS (LE HOME-LES PINS) EMS,Pins,EMS,EMS LE HOME - LES PINS SA,60,,60.0,,,,46.419090270996094,6.270072937011719,adresse,5721,Gland
236,LUSIADES JBC EMS,Lusiades Jbc,EMS,J3C EMS SA,29,,29.0,,,,,,,,
249,MONTBRILLANT (EBEN-HEZER) EMS,Montbrillant,EMS,FONDATION EBEN-HEZER,37,,37.0,,,,,,,,
261,ETOILE MATIN (MAGNIN) EMS,Etoile Matin,EMS,FONDATION CLAIRE MAGNIN,20,,20.0,,,,46.4844444,6.8478271,OSM,5885,Jongny
263,PERGOLAS (MAGNIN) EMS,Pergolas,EMS,FONDATION CLAIRE MAGNIN,30,,30.0,,,,,,,,
300,ORME (ORME) EMS,Orme,EMS,FONDATION DE L'ORME,100,,100.0,,,,46.25149917602539,7.013433456420898,adresse,5402,Bex
314,BRU (BRU) EMS,Bru,EMS,EMS BRU SA,20,,20.0,,,,,,,,
350,HOME (LE HOME-LES PINS) EMS,Home,EMS,EMS LE HOME - LES PINS SA,31,,31.0,,,,,,,,
