ofs,nom,canton,district,revenu_median_est,part_haut_revenu,nb_contribuables,coefficient,fortune_moy_chf,revenu_norm,coeff_norm,indice_pouvoir_achat
2261,Greng,Fribourg,See,85228.0,42.5,87.0,32.0,,100.0,0.0,100.0
5718,Genolier,Vaud,Nyon,74246.0,39.0,895.0,52.0,601453.0,75.91455390823756,16.216216216216218,79.8
5710,Coinsins,Vaud,Nyon,70139.0,34.0,241.0,49.0,601453.0,66.9071848407755,8.108108108108109,79.4
5639,Lully (VD),Vaud,Morges,79688.0,38.9,409.0,58.0,471789.0,87.84981138696378,32.432432432432435,77.7
5855,Dully,Vaud,Nyon,72965.0,38.8,291.0,53.0,601453.0,73.10509693832792,18.91891891891892,77.1
5623,Buchillon,Vaud,Morges,71468.0,35.8,307.0,52.0,471789.0,69.82191420300026,16.216216216216218,76.8
5653,Vufflens-le-Château,Vaud,Morges,81390.0,41.8,411.0,60.5,471789.0,91.58259496447056,39.189189189189186,76.2
5707,Chavannes-de-Bogis,Vaud,Nyon,77624.0,36.5,537.0,58.0,601453.0,83.32309851741381,32.432432432432435,75.4
5482,Eclépens,Vaud,Morges,61433.0,21.8,602.0,46.0,471789.0,47.81340468462146,0.0,73.9
5648,Saint-Sulpice (VD),Vaud,Ouest lausannois,71296.0,34.8,2090.0,55.0,188994.0,69.44468813053777,24.324324324324326,72.6
6617,Cologny,Genève,Genève,59524.0,31.2,2376.0,25.0,,43.626633915255724,0.0,71.8
5713,Crans (VD),Vaud,Nyon,74213.0,38.7,1052.0,59.0,601453.0,75.84217913852093,35.13513513513514,70.4
5730,Trélex,Vaud,Nyon,70834.0,37.4,677.0,57.0,601453.0,68.43144135450478,29.72972972972973,69.4
5585,Jouxtens-Mézery,Vaud,Lausanne,72500.0,40.4,722.0,59.0,253297.0,72.08527063777524,35.13513513513514,68.5
5706,Borex,Vaud,Nyon,70055.0,32.9,532.0,57.0,601453.0,66.72295815422406,29.72972972972973,68.5
5716,Eysins,Vaud,Nyon,72692.0,34.2,786.0,59.5,601453.0,72.5063602070357,36.486486486486484,68.0
5709,Chéserex,Vaud,Nyon,71635.0,32.9,604.0,59.0,601453.0,70.18817440126327,35.13513513513514,67.5
5606,Lutry,Vaud,Lavaux-Oron,65281.0,30.6,5532.0,54.0,563599.0,56.25274146854987,21.62162162162162,67.3
5858,Luins,Vaud,Nyon,70663.0,33.3,291.0,58.5,601453.0,68.05640845688218,33.78378378378378,67.1
5708,Chavannes-des-Bois,Vaud,Nyon,79840.0,43.3,372.0,66.0,601453.0,88.1831739626283,54.054054054054056,67.1
6642,Vandoeuvres,Genève,Genève,58537.0,34.5,1138.0,27.0,,41.46197034827617,7.6923076923076925,66.9
5712,Coppet,Vaud,Nyon,68436.0,35.3,1318.0,57.0,601453.0,63.1722080884288,29.72972972972973,66.7
6616,Collonge-Bellerive,Genève,Genève,59498.0,32.3,3598.0,28.0,,43.56961136941837,11.538461538461538,66.0
5728,Signy-Avenex,Vaud,Nyon,68527.0,29.3,273.0,58.0,601453.0,63.37178699885955,32.432432432432435,65.5
5638,Lonay,Vaud,Morges,64417.0,27.2,1449.0,55.0,471789.0,54.3578384068778,24.324324324324326,65.0
5640,Lussy-sur-Morges,Vaud,Morges,72149.0,33.5,349.0,61.5,471789.0,71.31546626897097,41.891891891891895,64.7
2271,Meyriez,Fribourg,See,66587.0,28.1,331.0,52.3,,59.11702780945697,29.852941176470583,64.6
6622,Genthod,Genève,Genève,52829.0,30.3,1183.0,25.0,,28.943328362137027,0.0,64.5
6619,Corsier (GE),Genève,Genève,63258.0,32.9,982.0,31.0,,51.815948767435735,23.076923076923077,64.4
5857,Gilly,Vaud,Nyon,73011.0,33.3,705.0,62.5,601453.0,73.20598298096324,44.5945945945946,64.3
5725,Prangins,Vaud,Nyon,66114.0,30.9,2061.0,57.0,601453.0,58.079656110185105,29.72972972972973,64.2
5717,Founex,Vaud,Nyon,65571.0,35.0,1447.0,57.0,601453.0,56.888762172120366,29.72972972972973,63.6
5732,Vich,Vaud,Nyon,72854.0,36.2,575.0,63.0,601453.0,72.86165453109922,45.94594594594595,63.5
5427,Féchy,Vaud,Morges,72750.0,35.3,385.0,64.0,471789.0,72.6335643477498,48.64864864864865,62.0
2274,Muntelier,Fribourg,See,67940.0,28.9,539.0,58.0,,62.08439336783928,38.23529411764706,61.9
5711,Commugny,Vaud,Nyon,65000.0,35.2,1152.0,58.0,601453.0,55.63645933853847,32.432432432432435,61.6
5645,Romanel-sur-Morges,Vaud,Morges,62500.0,25.5,255.0,56.0,471789.0,50.15352223879288,27.027027027027028,61.6
5729,Tannay,Vaud,Nyon,67969.0,36.6,672.0,60.5,601453.0,62.14799543819633,39.189189189189186,61.5
5726,La Rippe,Vaud,Nyon,71053.0,34.5,574.0,63.5,601453.0,68.9117466444425,47.2972972972973,60.8
5473,Boussens,Vaud,Gros-de-Vaud,71224.0,32.5,505.0,64.0,264755.0,69.28677954206509,48.64864864864865,60.3
5856,Essertines-sur-Rolle,Vaud,Nyon,73707.0,32.5,326.0,66.5,601453.0,74.73243266953241,55.4054054054054,59.7
5489,Mex (VD),Vaud,Gros-de-Vaud,64820.0,25.6,449.0,59.5,264755.0,55.24168786735678,36.486486486486484,59.4
5651,Villars-Sainte-Croix,Vaud,Ouest lausannois,65991.0,27.6,518.0,60.5,188994.0,57.809895604877624,39.189189189189186,59.3
5723,Mies,Vaud,Nyon,57599.0,32.1,838.0,54.0,601453.0,39.404772348451615,21.62162162162162,58.9
5722,Grens,Vaud,Nyon,64865.0,31.7,224.0,60.0,601453.0,55.34038073515221,37.83783783783784,58.8
5480,Daillens,Vaud,Gros-de-Vaud,71764.0,28.6,549.0,66.0,264755.0,70.47109395561014,54.054054054054056,58.2
5488,Mauraz,Vaud,Morges,82144.0,32.1,28.0,75.0,471789.0,93.23624879375384,78.37837837837837,57.4
5719,Gingins,Vaud,Nyon,63669.0,31.0,641.0,60.0,601453.0,52.71734362663392,37.83783783783784,57.4
5852,Bursinel,Vaud,Nyon,65949.0,36.1,227.0,62.0,601453.0,57.71778226160189,43.24324324324324,57.2
6609,Cartigny,Genève,Genève,75715.0,35.7,474.0,42.0,,79.13632774804807,65.38461538461539,56.9
2051,Delley-Portalban,Fribourg,La Broye,57753.0,17.8,751.0,49.9,,39.742521273795944,26.323529411764703,56.7
2284,Mont-Vully,Fribourg,See,62868.0,24.5,2555.0,58.0,,50.96061057987543,38.23529411764706,56.4
5720,Givrins,Vaud,Nyon,73090.0,36.8,503.0,68.5,601453.0,73.37924379331521,60.810810810810814,56.3
5456,Cudrefin,Vaud,Broye-Vully,61359.0,23.3,1023.0,59.0,149121.0,47.65110974646899,35.13513513513514,56.3
5501,Sullens,Vaud,Gros-de-Vaud,66867.0,25.0,603.0,64.0,264755.0,59.73111676462848,48.64864864864865,55.5
5863,Vinzel,Vaud,Nyon,68104.0,33.3,168.0,65.0,601453.0,62.444074041582596,51.35135135135135,55.5
5646,Saint-Prex,Vaud,Morges,60549.0,25.7,2812.0,59.0,471789.0,45.87463812615142,35.13513513513514,55.4
5621,Aclens,Vaud,Morges,61608.0,27.5,295.0,60.0,471789.0,48.197210281603645,37.83783783783784,55.2
5613,Bourg-en-Lavaux,Vaud,Lavaux-Oron,64663.0,30.2,2857.0,62.5,563599.0,54.897359417492765,44.5945945945946,55.2
5650,Vaux-sur-Morges,Vaud,Morges,56667.0,33.3,102.0,56.0,471789.0,37.360733397666465,27.027027027027028,55.2
2194,Ferpicloz,Fribourg,La Sarine,59678.0,20.9,148.0,55.0,,43.96438284060005,33.82352941176471,55.1
5633,Echandens,Vaud,Morges,62188.0,26.6,1369.0,60.5,471789.0,49.46925168874463,39.189189189189186,55.1
5590,Pully,Vaud,Lavaux-Oron,62708.0,27.5,9790.0,61.0,563599.0,50.60970260549171,40.54054054054054,55.0
