ofs,nom,prix_m2_moyen,prix_m2_median,n_annonces,fiabilite
5886,Montreux,11006.0,10153.0,41,solide (5+)
5409,Ollon,10649.0,8863.0,18,solide (5+)
5892,Blonay - Saint-Légier,11702.0,10139.0,18,solide (5+)
5938,Yverdon-les-Bains,9256.0,9045.0,17,solide (5+)
5586,Lausanne,11023.0,9769.0,16,solide (5+)
5861,Rolle,15129.0,11198.0,15,solide (5+)
5422,Aubonne,6757.0,6945.0,12,solide (5+)
5721,Gland,9472.0,9437.0,11,solide (5+)
5606,Lutry,13682.0,13819.0,9,solide (5+)
5890,Vevey,9560.0,8788.0,8,solide (5+)
5805,Oron,6760.0,6793.0,8,solide (5+)
5910,Cronay,6714.0,6772.0,7,solide (5+)
5889,La Tour-de-Peilz,10406.0,10346.0,7,solide (5+)
5402,Bex,6923.0,6864.0,7,solide (5+)
5724,Nyon,10987.0,12083.0,7,solide (5+)
5757,Orbe,6890.0,6194.0,7,solide (5+)
5584,Epalinges,9588.0,9800.0,7,solide (5+)
5590,Pully,13355.0,12548.0,6,solide (5+)
5613,Bourg-en-Lavaux,13908.0,14586.0,6,solide (5+)
5799,Servion,8689.0,9188.0,6,solide (5+)
5804,Jorat-Menthue,6737.0,6680.0,6,solide (5+)
5464,Vully-les-Lacs,7212.0,7179.0,6,solide (5+)
5882,Chardonne,11323.0,11167.0,5,solide (5+)
5518,Echallens,9807.0,9588.0,5,solide (5+)
5933,Valeyres-sous-Montagny,10385.0,7500.0,5,solide (5+)
5637,Lavigny,8839.0,7244.0,5,solide (5+)
5678,Moudon,6382.0,6305.0,5,solide (5+)
5581,Belmont-sur-Lausanne,10622.0,10570.0,5,solide (5+)
5561,Grandson,9857.0,9850.0,5,solide (5+)
5731,Le Vaud,10374.0,10839.0,5,solide (5+)
5822,Payerne,10061.0,7414.0,5,solide (5+)
5568,Sainte-Croix,5492.0,4833.0,5,solide (5+)
5643,Préverenges,12895.0,12246.0,5,solide (5+)
5841,Château-d'Oex,8396.0,8846.0,5,solide (5+)
5859,Mont-sur-Rolle,11638.0,11772.0,4,indicative (2-4)
5636,Etoy,10264.0,10096.0,4,indicative (2-4)
5929,Suchy,7704.0,7588.0,4,indicative (2-4)
5702,Arzier-Le Muids,12765.0,9050.0,4,indicative (2-4)
5591,Renens (VD),9023.0,9237.0,4,indicative (2-4)
5589,Prilly,15274.0,11467.0,4,indicative (2-4)
5717,Founex,11494.0,12104.0,4,indicative (2-4)
5587,Le Mont-sur-Lausanne,11324.0,11105.0,4,indicative (2-4)
5523,Froideville,6946.0,6507.0,4,indicative (2-4)
5456,Cudrefin,9922.0,10232.0,4,indicative (2-4)
5755,Lignerolle,7420.0,7406.0,4,indicative (2-4)
5891,Veytaux,8617.0,9318.0,3,indicative (2-4)
5414,Villeneuve (VD),11516.0,9862.0,3,indicative (2-4)
5642,Morges,12579.0,11327.0,3,indicative (2-4)
5498,La Sarraz,8042.0,8178.0,3,indicative (2-4)
5713,Crans (VD),11642.0,11818.0,3,indicative (2-4)
5718,Genolier,11907.0,14000.0,3,indicative (2-4)
5428,Gimel,7726.0,8934.0,3,indicative (2-4)
5831,Valbroye,6152.0,6011.0,3,indicative (2-4)
5516,Cugy (VD),6177.0,6250.0,3,indicative (2-4)
5583,Crissier,11056.0,11145.0,3,indicative (2-4)
5921,Molondin,4322.0,4322.0,2,indicative (2-4)
5884,Corsier-sur-Vevey,11675.0,11675.0,2,indicative (2-4)
5922,Montagny-près-Yverdon,3967.0,3967.0,2,indicative (2-4)
5711,Commugny,10712.0,10712.0,2,indicative (2-4)
5764,Vallorbe,6319.0,6319.0,2,indicative (2-4)
5883,Corseaux,10109.0,10109.0,2,indicative (2-4)
5857,Gilly,9574.0,9574.0,2,indicative (2-4)
5675,Lucens,9497.0,9497.0,2,indicative (2-4)
5669,Curtilles,5634.0,5634.0,2,indicative (2-4)
5656,Hautemorges,8364.0,8364.0,2,indicative (2-4)
5648,Saint-Sulpice (VD),12595.0,12595.0,2,indicative (2-4)
5827,Trey,5949.0,5949.0,2,indicative (2-4)
5860,Perroy,10769.0,10769.0,2,indicative (2-4)
5720,Givrins,9938.0,9938.0,2,indicative (2-4)
5913,Donneloye,6551.0,6551.0,2,indicative (2-4)
5401,Aigle,5569.0,5569.0,2,indicative (2-4)
5646,Saint-Prex,17835.0,17835.0,2,indicative (2-4)
5601,Chexbres,18623.0,18623.0,2,indicative (2-4)
5404,Corbeyrier,9277.0,9277.0,2,indicative (2-4)
5405,Gryon,10154.0,10154.0,2,indicative (2-4)
5410,Ormont-Dessous,7411.0,7411.0,2,indicative (2-4)
5411,Ormont-Dessus,7968.0,7968.0,2,indicative (2-4)
5503,Vufflens-la-Ville,9379.0,9379.0,2,indicative (2-4)
5553,Champagne,7383.0,7383.0,2,indicative (2-4)
5588,Paudex,12542.0,12542.0,2,indicative (2-4)
5522,Fey,8927.0,8927.0,2,indicative (2-4)
5654,Vullierens,9485.0,9485.0,2,indicative (2-4)
5639,Lully (VD),10559.0,10559.0,2,indicative (2-4)
5858,Luins,4805.0,4805.0,1,faible (1)
5872,Le Chenit,5114.0,5114.0,1,faible (1)
5871,L'Abbaye,5172.0,5172.0,1,faible (1)
5862,Tartegnin,12706.0,12706.0,1,faible (1)
5479,Cuarnens,5350.0,5350.0,1,faible (1)
5480,Daillens,4261.0,4261.0,1,faible (1)
5484,Gollion,9800.0,9800.0,1,faible (1)
5489,Mex (VD),10847.0,10847.0,1,faible (1)
5458,Faoug,10896.0,10896.0,1,faible (1)
5856,Essertines-sur-Rolle,16500.0,16500.0,1,faible (1)
5854,Burtigny,10151.0,10151.0,1,faible (1)
5853,Bursins,10000.0,10000.0,1,faible (1)
5852,Bursinel,18889.0,18889.0,1,faible (1)
5493,Orny,6867.0,6867.0,1,faible (1)
5473,Boussens,17182.0,17182.0,1,faible (1)
5429,Longirod,11647.0,11647.0,1,faible (1)
5703,Bassins,10593.0,10593.0,1,faible (1)
5426,Bougy-Villars,7450.0,7450.0,1,faible (1)
5425,Bière,8742.0,8742.0,1,faible (1)
5423,Ballens,9944.0,9944.0,1,faible (1)
5415,Yvorne,6429.0,6429.0,1,faible (1)
5413,Roche (VD),7588.0,7588.0,1,faible (1)
5902,Belmont-sur-Yverdon,7337.0,7337.0,1,faible (1)
5909,Cheseaux-Noréaz,4967.0,4967.0,1,faible (1)
5634,Echichens,13333.0,13333.0,1,faible (1)
5665,Chavannes-sur-Moudon,4590.0,4590.0,1,faible (1)
5914,Ependes (VD),11818.0,11818.0,1,faible (1)
5408,Noville,6393.0,6393.0,1,faible (1)
5407,Leysin,8077.0,8077.0,1,faible (1)
5635,Ecublens (VD),12308.0,12308.0,1,faible (1)
5496,Penthaz,8750.0,8750.0,1,faible (1)
5611,Savigny,7000.0,7000.0,1,faible (1)
5520,Essertines-sur-Yverdon,9597.0,9597.0,1,faible (1)
5816,Corcelles-près-Payerne,3077.0,3077.0,1,faible (1)
5706,Borex,11333.0,11333.0,1,faible (1)
5707,Chavannes-de-Bogis,10000.0,10000.0,1,faible (1)
5708,Chavannes-des-Bois,6726.0,6726.0,1,faible (1)
5607,Puidoux,24468.0,24468.0,1,faible (1)
5712,Coppet,26533.0,26533.0,1,faible (1)
5693,Montanaire,5610.0,5610.0,1,faible (1)
5714,Crassier,11818.0,11818.0,1,faible (1)
5715,Duillier,8278.0,8278.0,1,faible (1)
5690,Villars-le-Comte,3696.0,3696.0,1,faible (1)
5571,Tévenon,8385.0,8385.0,1,faible (1)
5565,Onnens (VD),5336.0,5336.0,1,faible (1)
5559,Giez,8333.0,8333.0,1,faible (1)
5723,Mies,11667.0,11667.0,1,faible (1)
5624,Bussigny,9857.0,9857.0,1,faible (1)
5725,Prangins,10411.0,10411.0,1,faible (1)
5727,Saint-Cergue,6909.0,6909.0,1,faible (1)
5730,Trélex,6892.0,6892.0,1,faible (1)
5552,Bullet,11900.0,11900.0,1,faible (1)
5732,Vich,10179.0,10179.0,1,faible (1)
5749,Chavornay,4146.0,4146.0,1,faible (1)
5551,Bonvillars,4250.0,4250.0,1,faible (1)
5541,Goumoëns,3667.0,3667.0,1,faible (1)
5758,La Praz,3692.0,3692.0,1,faible (1)
5534,Rueyres,8067.0,8067.0,1,faible (1)
5533,Poliez-Pittet,5267.0,5267.0,1,faible (1)
5530,Pailly,9615.0,9615.0,1,faible (1)
5651,Villars-Sainte-Croix,9343.0,9343.0,1,faible (1)
5812,Champtauroz,8013.0,8013.0,1,faible (1)
5813,Chevroux,7882.0,7882.0,1,faible (1)
5632,Denges,16377.0,16377.0,1,faible (1)
