ofs,nom,district,note_pouvoir_achat,note_population,note_tension_ems,indice_pouvoir_achat,pop_80plus,pop_zone_80plus,part_80plus,dist_ems_km,lits_pour_100_district,prix_m2_appart,prix_fiabilite
5401,Aigle,Aigle,1.42,1.72,0.06,28.3,589.0,1346,5.0,0.57,23.7,6970.0,indicative (1-4)
5404,Corbeyrier,Aigle,1.19,2.83,0.42,23.8,53.0,3802,11.7,3.81,23.7,9277.0,indicative (1-4)
5405,Gryon,Aigle,1.12,1.62,0.36,22.4,84.0,1224,5.5,3.31,23.7,9200.0,indicative (1-4)
5423,Ballens,Morges,1.54,2.09,4.19,30.9,32.0,1913,5.5,4.02,8.8,9944.0,indicative (1-4)
5557,Fontaines-sur-Grandson,Jura-Nord vaudois,1.04,2.55,1.86,20.8,7.0,2944,3.2,1.63,17.0,7977.0,estimé (voisinage)
5588,Paudex,Lavaux-Oron,2.24,4.3,3.99,44.7,99.0,15158,6.6,3.37,9.3,12542.0,indicative (1-4)
5645,Romanel-sur-Morges,Morges,3.08,3.73,4.1,61.6,26.0,8879,5.7,3.19,8.8,4887.0,annonces (surface estimée)
5704,Begnins,Nyon,2.7,2.95,3.56,54.0,172.0,4273,8.5,3.34,11.0,9336.0,annonces (surface estimée)
5717,Founex,Nyon,3.18,3.1,3.76,63.6,166.0,4932,4.4,5.11,11.0,12190.0,indicative (1-4)
5792,Montpreveyres,Lavaux-Oron,1.65,3.99,3.97,33.0,19.0,11306,2.9,3.15,9.3,7567.0,estimé (voisinage)
5822,Payerne,Broye-Vully,1.18,2.32,2.42,23.7,502.0,2368,4.7,6.66,17.0,8688.0,solide (5+)
5855,Dully,Nyon,3.85,2.85,3.53,77.1,27.0,3885,4.4,3.07,11.0,21429.0,annonces (surface estimée)
5882,Chardonne,Riviera-Pays-d'Enhaut,2.22,3.58,1.76,44.4,244.0,7679,7.3,1.62,17.4,13634.0,solide (5+)
2129,Corbières,La Gruyère,2.16,2.48,1.1,43.2,27.0,2739,2.6,1.55,20.0,,
2196,Fribourg,La Sarine,1.18,3.39,1.16,23.7,2171.0,6452,5.5,0.0,19.1,,
2220,Le Mouret,La Sarine,1.4,3.07,1.38,27.9,142.0,4790,4.2,2.0,19.1,,
