ofs,nom_ifd,nb_contribuables,revenu_median_est,part_haut_revenu
5401,Aigle,5654,44524,10.3
5402,Bex,4255,44282,11.1
5403,Chessel,288,47000,11.8
5404,Corbeyrier,265,50203,11.7
5405,Gryon,714,48334,16.5
5406,Lavey-Morcles,560,47693,12.7
5407,Leysin,1542,43397,13.7
5408,Noville,586,55129,21.7
5409,Ollon,3756,51178,20.5
5410,Ormont-Dessous,695,43824,10.9
5411,Ormont-Dessus,814,49706,16.1
5412,Rennaz,488,48095,12.7
5413,Roche (VD),973,47168,12.4
5414,Villeneuve (VD),3059,44288,12.3
5415,Yvorne,599,54314,16.2
5422,Aubonne,1859,56933,25.0
5423,Ballens,312,55515,19.9
5424,Berolle,176,54488,23.9
5425,Bière,871,51370,13.3
5426,Bougy-Villars,244,60466,25.8
5427,Féchy,385,72750,35.3
5428,Gimel,1180,52184,20.2
5429,Longirod,283,62939,27.2
5430,Marchissy,277,61831,24.2
5431,Mollens (VD),179,51737,14.5
5434,Saint-George,524,63195,29.2
5435,Saint-Livres,369,58399,25.5
5436,Saint-Oyens,229,71221,37.1
5437,Saubraz,210,59303,25.2
5451,Avenches,2394,46865,11.7
5456,Cudrefin,1023,61359,23.3
5458,Faoug,520,57618,21.2
5464,Vully-les-Lacs,1975,57490,20.6
5471,Bettens,359,65030,24.5
5472,Bournens,262,66797,29.8
5473,Boussens,505,71224,32.5
5474,La Chaux (Cossonay),235,64859,21.7
5475,Chavannes-le-Veyron,74,66667,25.7
5476,Chevilly,177,70486,30.5
5477,Cossonay,2411,55190,18.9
5479,Cuarnens,298,59001,27.5
5480,Daillens,549,71764,28.6
5481,Dizy,133,59936,24.1
5482,Eclépens,602,61433,21.8
5483,Ferreyres,155,68581,31.0
5484,Gollion,556,63637,22.8
5485,Grancy,257,65057,28.8
5486,L'Isle,619,50482,17.1
5487,Lussery-Villars,266,61508,20.7
5488,Mauraz,28,82144,32.1
5489,Mex (VD),449,64820,25.6
5490,Moiry,170,60001,20.6
5491,Mont-la-Ville,240,65196,25.8
5492,Montricher,540,58731,22.6
5493,Orny,278,54840,17.6
5495,Penthalaz,1747,55245,16.3
5496,Penthaz,967,61464,24.9
5497,Pompaples,456,52501,15.6
5498,La Sarraz,1378,54359,17.4
5499,Senarclens,258,57144,27.1
5501,Sullens,603,66867,25.0
5503,Vufflens-la-Ville,695,65093,30.9
5511,Assens,889,65292,26.8
5512,Bercher,721,56294,20.5
5514,Bottens,721,62577,23.4
5515,Bretigny-sur-Morrens,483,62711,23.8
5516,Cugy (VD),1392,60927,25.8
5518,Echallens,3118,54746,20.0
5520,Essertines-sur-Yverdon,569,63032,23.9
5521,Etagnières,593,62294,27.3
5522,Fey,385,64625,26.2
5523,Froideville,1417,64429,25.3
5527,Morrens (VD),625,60380,26.1
5529,Oulens-sous-Echallens,321,67614,32.1
5530,Pailly,287,66331,26.5
5531,Penthéréaz,227,57599,25.6
5533,Poliez-Pittet,451,63707,23.5
5534,Rueyres,173,56466,26.6
5535,Saint-Barthélemy (VD),462,56563,21.9
5537,Villars-le-Terroir,685,62972,27.6
5539,Vuarrens,553,61036,25.1
5540,Montilliez,1040,62399,24.7
5541,Goumoëns,587,65656,26.9
5551,Bonvillars,281,61030,22.8
5552,Bullet,390,51686,14.1
5553,Champagne,587,59135,20.8
5554,Concise,592,53126,18.4
5555,Corcelles-près-Concise,234,56373,20.9
5556,Fiez,254,54168,22.0
5557,Fontaines-sur-Grandson,132,45000,17.4
5559,Giez,247,64096,27.1
5560,Grandevent,129,69500,28.7
5561,Grandson,1958,51314,19.0
5562,Mauborget,78,41251,9.0
5563,Mutrux,77,46072,14.3
5564,Novalles,51,63971,17.6
5565,Onnens (VD),264,58020,21.2
5566,Provence,248,44055,9.7
5568,Sainte-Croix,2993,39632,8.7
5571,Tévenon,492,58164,18.9
5581,Belmont-sur-Lausanne,1935,67338,31.3
5582,Cheseaux-sur-Lausanne,2470,59977,21.5
5583,Crissier,4528,49004,16.0
5584,Epalinges,4770,61040,26.6
5585,Jouxtens-Mézery,722,72500,40.4
5586,Lausanne,77121,47070,13.1
5587,Le Mont-sur-Lausanne,4561,60915,26.7
5588,Paudex,796,60088,24.0
5589,Prilly,6525,47688,12.1
5590,Pully,9790,62708,27.5
5591,Renens (VD),10523,44275,9.6
5592,Romanel-sur-Lausanne,2089,55814,17.2
5601,Chexbres,1236,58334,23.1
5604,Forel (Lavaux),1120,60501,20.9
5606,Lutry,5532,65281,30.6
5607,Puidoux,1596,55030,19.9
5609,Rivaz,190,57144,23.2
5610,Saint-Saphorin (Lavaux),217,53126,25.3
5611,Savigny,1805,58818,25.0
5613,Bourg-en-Lavaux,2857,64663,30.2
5621,Aclens,295,61608,27.5
5622,Bremblens,309,69250,33.3
5623,Buchillon,307,71468,35.8
5624,Bussigny,5276,57189,18.5
5627,Chavannes-près-Renens,3909,47573,10.2
5628,Chigny,185,58855,30.8
5629,Clarmont,126,60228,15.1
5631,Denens,389,63052,32.4
5632,Denges,880,56571,25.1
5633,Echandens,1369,62188,26.6
5634,Echichens,1645,64555,29.8
5635,Ecublens (VD),6054,49986,16.0
5636,Etoy,1520,51826,22.8
5637,Lavigny,532,54935,29.1
5638,Lonay,1449,64417,27.2
5639,Lully (VD),409,79688,38.9
5640,Lussy-sur-Morges,349,72149,33.5
5642,Morges,9409,53661,17.8
5643,Préverenges,2618,59778,23.1
5645,Romanel-sur-Morges,255,62500,25.5
5646,Saint-Prex,2812,60549,25.7
5648,Saint-Sulpice (VD),2090,71296,34.8
5649,Tolochenaz,972,56190,22.3
5650,Vaux-sur-Morges,102,56667,33.3
5651,Villars-Sainte-Croix,518,65991,27.6
5652,Villars-sous-Yens,319,62091,24.1
5653,Vufflens-le-Château,411,81390,41.8
5654,Vullierens,301,59549,20.9
5655,Yens,727,65137,30.5
5656,Hautemorges,2276,60105,25.6
5661,Boulens,222,59001,22.1
5663,Bussy-sur-Moudon,125,60888,17.6
5665,Chavannes-sur-Moudon,127,55289,15.7
5669,Curtilles,186,49565,10.8
5671,Dompierre (VD),129,60313,14.7
5673,Hermenches,225,54450,16.9
5674,Lovatens,97,49250,9.3
5675,Lucens,2148,46103,12.3
5678,Moudon,2911,45108,9.8
5680,Ogens,169,56105,18.9
5683,Prévonloup,117,57813,14.5
5684,Rossenges,45,58594,11.1
5688,Syens,93,53501,11.8
5690,Villars-le-Comte,82,57354,20.7
5692,Vucherens,338,60589,23.4
5693,Montanaire,1552,56001,17.8
5701,Arnex-sur-Nyon,108,66667,34.3
5702,Arzier-Le Muids,1501,57357,32.3
5703,Bassins,724,65678,30.0
5704,Begnins,952,63637,27.6
5705,Bogis-Bossey,350,67709,36.9
5706,Borex,532,70055,32.9
5707,Chavannes-de-Bogis,537,77624,36.5
5708,Chavannes-des-Bois,372,79840,43.3
5709,Chéserex,604,71635,32.9
5710,Coinsins,241,70139,34.0
5711,Commugny,1152,65000,35.2
5712,Coppet,1318,68436,35.3
5713,Crans (VD),1052,74213,38.7
5714,Crassier,570,62838,32.5
5715,Duillier,561,68308,30.8
5716,Eysins,786,72692,34.2
5717,Founex,1447,65571,35.0
5718,Genolier,895,74246,39.0
5719,Gingins,641,63669,31.0
5720,Givrins,503,73090,36.8
5721,Gland,6785,58504,23.4
5722,Grens,224,64865,31.7
5723,Mies,838,57599,32.1
5724,Nyon,11069,57968,22.6
5725,Prangins,2061,66114,30.9
5726,La Rippe,574,71053,34.5
5727,Saint-Cergue,1436,55726,22.4
5728,Signy-Avenex,273,68527,29.3
5729,Tannay,672,67969,36.6
5730,Trélex,677,70834,37.4
5731,Le Vaud,691,65700,32.3
5732,Vich,575,72854,36.2
5741,L'Abergement,141,63750,24.8
5742,Agiez,198,57378,14.1
5743,Arnex-sur-Orbe,378,56633,17.5
5744,Ballaigues,632,47935,11.2
5745,Baulmes,645,51811,16.1
5746,Bavois,592,55894,19.3
5747,Bofflens,104,61765,23.1
5748,Bretonnières,142,58872,21.8
5749,Chavornay,2894,54478,16.1
5750,Les Clées,105,56772,20.0
5752,Croy,230,52405,16.5
5754,Juriens,204,55883,16.2
5755,Lignerolle,222,60097,18.0
5756,Montcherand,251,63617,23.5
5757,Orbe,4058,50538,13.8
5758,La Praz,100,55556,18.0
5759,Premier,128,54688,15.6
5760,Rances,286,55556,20.6
5761,Romainmôtier-Envy,318,48462,12.9
5762,Sergey,78,59376,21.8
5763,Valeyres-sous-Rances,319,60561,23.2
5764,Vallorbe,2148,45303,10.5
5765,Vaulion,278,48611,12.9
5766,Vuiteboeuf,339,48229,15.0
5785,Corcelles-le-Jorat,260,53572,18.8
5790,Maracon,297,63345,25.6
5792,Montpreveyres,350,59227,22.3
5798,Ropraz,281,57364,21.4
5799,Servion,1141,62392,26.4
5803,Vulliens,338,58594,21.0
5804,Jorat-Menthue,831,62625,22.9
5805,Oron,3328,51005,17.9
5806,Jorat-Mézières,1698,59204,22.6
5812,Champtauroz,87,54606,23.0
5813,Chevroux,284,52886,21.1
5816,Corcelles-près-Payerne,1519,49107,12.3
5817,Grandcour,546,53677,13.9
5819,Henniez,212,46539,11.3
5821,Missy,205,48600,18.0
5822,Payerne,5185,45259,11.1
5827,Trey,165,58612,17.0
5828,Treytorrens (Payerne),60,55556,6.7
5830,Villarzel,251,55617,16.3
5831,Valbroye,1775,49500,15.3
5841,Château-d'Oex,1837,45661,13.6
5842,Rossinière,297,48929,11.8
5843,Rougemont,419,46072,16.7
5851,Allaman,213,55184,24.4
5852,Bursinel,227,65949,36.1
5853,Bursins,392,63983,32.1
5854,Burtigny,198,57895,23.2
5855,Dully,291,72965,38.8
5856,Essertines-sur-Rolle,326,73707,32.5
5857,Gilly,705,73011,33.3
5858,Luins,291,70663,33.3
5859,Mont-sur-Rolle,1336,59978,28.4
5860,Perroy,773,61650,26.0
5861,Rolle,2896,55535,23.8
5862,Tartegnin,116,60001,26.7
5863,Vinzel,168,68104,33.3
5871,L'Abbaye,860,49560,16.3
5872,Le Chenit,2518,50898,14.7
5873,Le Lieu,505,52591,16.4
5882,Chardonne,1776,61625,24.5
5883,Corseaux,1235,66011,30.1
5884,Corsier-sur-Vevey,1856,48030,14.8
5885,Jongny,965,68106,30.1
5886,Montreux,13463,44881,14.4
5889,La Tour-de-Peilz,6826,52297,18.5
5890,Vevey,11069,44538,11.3
5891,Veytaux,545,50324,16.3
5892,Blonay - Saint-Légier,6273,61142,28.9
5902,Belmont-sur-Yverdon,247,57813,17.4
5903,Bioley-Magnoux,140,50736,13.6
5904,Chamblon,315,64261,25.1
5905,Champvent,367,56883,20.4
5907,Chavannes-le-Chêne,188,54269,17.0
5908,Chêne-Pâquier,79,59559,21.5
5909,Cheseaux-Noréaz,375,69576,35.5
5910,Cronay,226,60385,20.8
5911,Cuarny,140,59678,20.7
5912,Démoret,86,48182,14.0
5913,Donneloye,476,54482,20.0
5914,Ependes (VD),199,54077,14.6
5919,Mathod,387,54168,16.0
5921,Molondin,134,51472,16.4
5922,Montagny-près-Yverdon,428,59135,21.7
5923,Oppens,89,61310,24.7
5924,Orges,225,57813,17.3
5925,Orzens,112,55436,14.3
5926,Pomy,442,62500,29.0
5928,Rovray,89,67917,29.2
5929,Suchy,342,62821,26.9
5930,Suscévaz,105,59167,22.9
5931,Treycovagnes,268,58929,22.8
5932,Ursins,124,59167,20.2
5933,Valeyres-sous-Montagny,379,59158,20.6
5934,Valeyres-sous-Ursins,138,55001,17.4
5935,Villars-Epeney,43,67188,30.2
5937,Vugelles-La Mothe,68,56001,11.8
5938,Yverdon-les-Bains,15841,45149,11.0
5939,Yvonand,1996,51008,15.8
10000,Total / Totale,431215,52456,18.9
