ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
5401,Aigle,Aigle,0.57,11752.0,589.0,5.0,28.3,6970.0,indicative (1-4),23.7,42.7,1.2,28.3,85.3
5404,Corbeyrier,Aigle,3.81,452.0,53.0,11.7,23.8,9277.0,indicative (1-4),23.7,100.0,8.3,23.8,75.3
5405,Gryon,Aigle,3.31,1519.0,84.0,5.5,22.4,9200.0,indicative (1-4),23.7,47.0,7.2,22.4,75.6
5423,Ballens,Morges,4.02,579.0,32.0,5.5,30.9,9944.0,indicative (1-4),8.8,47.0,83.8,30.9,72.4
5557,Fontaines-sur-Grandson,Jura-Nord vaudois,1.63,219.0,7.0,3.2,20.8,7977.0,estimé (voisinage),17.0,27.4,37.3,20.8,80.9
5588,Paudex,Lavaux-Oron,3.37,1509.0,99.0,6.6,44.7,12542.0,indicative (1-4),9.3,56.4,79.8,44.7,61.0
5645,Romanel-sur-Morges,Morges,3.19,454.0,26.0,5.7,61.6,4887.0,annonces (surface estimée),8.8,48.7,82.0,61.6,94.4
5704,Begnins,Nyon,3.34,2035.0,172.0,8.5,54.0,9336.0,annonces (surface estimée),11.0,72.6,71.2,54.0,75.0
5717,Founex,Nyon,5.11,3763.0,166.0,4.4,63.6,12190.0,indicative (1-4),11.0,37.6,75.1,63.6,62.6
5792,Montpreveyres,Lavaux-Oron,3.15,656.0,19.0,2.9,33.0,7567.0,estimé (voisinage),9.3,24.8,79.4,33.0,82.7
5822,Payerne,Broye-Vully,6.66,10758.0,502.0,4.7,23.7,8688.0,solide (5+),17.0,40.2,48.3,23.7,77.8
5855,Dully,Nyon,3.07,620.0,27.0,4.4,77.1,21429.0,annonces (surface estimée),11.0,37.6,70.6,77.1,22.3
5882,Chardonne,Riviera-Pays-d'Enhaut,1.62,3337.0,244.0,7.3,44.4,13634.0,solide (5+),17.4,62.4,35.2,44.4,56.3
2129,Corbières,La Gruyère,1.55,1042.0,27.0,2.6,43.2,,,20.0,22.2,22.0,43.2,
2196,Fribourg,La Sarine,0.0,39151.0,2171.0,5.5,23.7,,,19.1,47.0,23.2,23.7,
2220,Le Mouret,La Sarine,2.0,3354.0,142.0,4.2,27.9,,,19.1,35.9,27.5,27.9,
2254,Courtepin,See,0.3,5772.0,192.0,3.3,32.4,,,15.1,28.2,43.9,32.4,
2261,Greng,See,3.5,176.0,8.0,4.5,100.0,,,15.1,38.5,50.9,100.0,
5726,La Rippe,Nyon,8.75,1196.0,43.0,3.6,60.8,11869.0,estimé (voisinage),11.0,30.8,83.0,60.8,64.0
5812,Champtauroz,Broye-Vully,4.82,196.0,8.0,4.1,24.5,8443.0,indicative (1-4),17.0,35.0,44.2,24.5,78.9
5821,Missy,Broye-Vully,4.35,383.0,21.0,5.5,28.8,5493.0,estimé (voisinage),17.0,47.0,43.2,28.8,91.8
6628,Lancy,Genève,0.55,37259.0,1942.0,5.2,20.1,,,12.4,44.4,58.1,20.1,
5434,Saint-George,Nyon,7.62,1081.0,43.0,4.0,44.1,10063.0,annonces (surface estimée),11.0,34.2,80.6,44.1,71.8
5499,Senarclens,Morges,2.3,480.0,25.0,5.2,38.8,9052.0,estimé (voisinage),8.8,44.4,80.0,38.8,76.2
5640,Lussy-sur-Morges,Morges,4.18,719.0,58.0,8.1,64.7,12914.0,estimé (voisinage),8.8,69.2,84.1,64.7,59.4
5656,Hautemorges,Morges,1.23,4383.0,212.0,4.8,42.7,8525.0,indicative (1-4),8.8,41.0,77.7,42.7,78.5
2198,Granges-Paccot,La Sarine,1.56,3983.0,105.0,2.6,41.7,,,19.1,22.2,26.6,41.7,
2211,Neyruz (FR),La Sarine,1.0,2869.0,97.0,3.4,37.3,,,19.1,29.1,25.3,37.3,
2325,Châtel-Saint-Denis,La Veveyse,3.7,8786.0,322.0,3.7,29.9,,,19.6,31.6,28.7,29.9,
2125,Bulle,La Gruyère,2.03,27101.0,1224.0,4.5,33.1,,,20.0,38.5,23.1,33.1,
2250,Courgevaux,See,4.37,1458.0,61.0,4.2,39.8,,,15.1,35.9,52.8,39.8,
5473,Boussens,Gros-de-Vaud,1.67,1006.0,22.0,2.2,60.3,17182.0,indicative (1-4),14.0,18.8,52.5,60.3,40.8
5553,Champagne,Jura-Nord vaudois,2.92,1070.0,32.0,3.0,45.7,7097.0,indicative (1-4),17.0,25.6,40.1,45.7,84.8
5562,Mauborget,Jura-Nord vaudois,2.11,145.0,10.0,6.9,19.3,7977.0,estimé (voisinage),17.0,59.0,38.3,19.3,80.9
5564,Novalles,Jura-Nord vaudois,0.97,106.0,5.0,4.7,36.1,8333.0,estimé (voisinage),17.0,40.2,35.8,36.1,79.4
5607,Puidoux,Lavaux-Oron,1.58,2974.0,101.0,3.4,36.5,24468.0,indicative (1-4),9.3,29.1,75.9,36.5,9.0
5705,Bogis-Bossey,Nyon,6.01,991.0,32.0,3.2,48.4,11869.0,estimé (voisinage),11.0,27.4,77.0,48.4,64.0
5742,Agiez,Jura-Nord vaudois,2.39,372.0,9.0,2.4,28.9,6832.0,estimé (voisinage),17.0,20.5,38.9,28.9,85.9
5843,Rougemont,Riviera-Pays-d'Enhaut,6.78,813.0,75.0,9.2,12.5,7828.0,estimé (voisinage),17.4,78.6,46.5,12.5,81.6
5852,Bursinel,Nyon,3.44,532.0,18.0,3.4,57.2,14495.0,indicative (1-4),11.0,29.1,71.4,57.2,52.5
5858,Luins,Nyon,2.52,633.0,20.0,3.2,67.1,4805.0,indicative (1-4),11.0,27.4,69.4,67.1,94.8
5883,Corseaux,Riviera-Pays-d'Enhaut,2.52,2320.0,211.0,9.1,49.9,11439.0,indicative (1-4),17.4,77.8,37.2,49.9,65.8
6612,Chêne-Bougeries,Genève,0.36,14342.0,1174.0,8.2,47.3,,,12.4,70.1,57.7,47.3,
6613,Chêne-Bourg,Genève,0.62,9578.0,449.0,4.7,15.7,,,12.4,40.2,58.2,15.7,
6614,Choulex,Genève,2.64,1232.0,75.0,6.1,51.4,,,12.4,52.1,62.6,51.4,
6621,Genève,Genève,0.44,209061.0,11144.0,5.3,15.5,,,12.4,45.3,57.8,15.5,
6644,Versoix,Genève,0.71,13996.0,757.0,5.4,17.0,,,12.4,46.2,58.4,17.0,
5482,Eclépens,Morges,2.15,1210.0,53.0,4.4,73.9,6086.0,estimé (voisinage),8.8,37.6,79.7,73.9,89.2
5565,Onnens (VD),Jura-Nord vaudois,1.35,513.0,24.0,4.7,44.5,5336.0,indicative (1-4),17.0,40.2,36.7,44.5,92.5
5601,Chexbres,Lavaux-Oron,0.54,2261.0,232.0,10.3,41.5,14645.0,indicative (1-4),9.3,88.0,73.7,41.5,51.9
5633,Echandens,Morges,0.68,2999.0,216.0,7.2,55.1,13381.0,annonces (surface estimée),8.8,61.5,76.5,55.1,57.4
5715,Duillier,Nyon,1.88,1140.0,45.0,3.9,54.4,8278.0,indicative (1-4),11.0,33.3,68.0,54.4,79.6
5719,Gingins,Nyon,7.92,1256.0,77.0,6.1,57.4,12180.0,annonces (surface estimée),11.0,52.1,81.2,57.4,62.6
5748,Bretonnières,Jura-Nord vaudois,5.26,261.0,11.0,4.2,40.0,6832.0,estimé (voisinage),17.0,35.9,45.2,40.0,85.9
5761,Romainmôtier-Envy,Jura-Nord vaudois,5.41,560.0,25.0,4.5,12.4,6086.0,estimé (voisinage),17.0,38.5,45.5,12.4,89.2
5804,Jorat-Menthue,Gros-de-Vaud,6.02,1574.0,74.0,4.7,42.1,7118.0,solide (5+),14.0,40.2,62.0,42.1,84.7
5863,Vinzel,Nyon,3.5,387.0,9.0,2.3,55.5,9336.0,estimé (voisinage),11.0,19.7,71.6,55.5,75.0
5905,Champvent,Jura-Nord vaudois,3.69,724.0,28.0,3.9,36.5,5986.0,annonces (surface estimée),17.0,33.3,41.8,36.5,89.6
5910,Cronay,Jura-Nord vaudois,3.54,426.0,19.0,4.5,33.6,6714.0,solide (5+),17.0,38.5,41.5,33.6,86.4
6631,Onex,Genève,0.28,18915.0,1433.0,7.6,7.8,,,12.4,65.0,57.5,7.8,
2016,Fétigny,La Broye,4.36,1284.0,42.0,3.3,28.9,,,14.5,28.2,55.8,28.9,
2025,Lully (FR),La Broye,2.46,1226.0,44.0,3.6,34.1,,,14.5,30.8,51.7,34.1,
2131,Echarlens,La Gruyère,1.83,846.0,34.0,4.0,41.2,,,20.0,34.2,22.6,41.2,
2208,Matran,La Sarine,1.6,1906.0,57.0,3.0,43.1,,,19.1,25.6,26.6,43.1,
2230,Villarsel-sur-Marly,La Sarine,1.78,69.0,0.0,0.0,24.6,,,19.1,0.0,27.0,24.6,
2265,Kerzers,See,2.15,5466.0,225.0,4.1,37.3,,,15.1,35.0,48.0,37.3,
2011,Cugy (FR),La Broye,4.52,2030.0,86.0,4.2,27.7,,,14.5,35.9,56.2,27.7,
2114,Villorsonnens,La Glâne,4.88,1546.0,72.0,4.7,29.3,,,20.2,40.2,28.3,29.3,
2140,Marsens,La Gruyère,0.69,2130.0,65.0,3.1,40.2,,,20.0,26.5,20.1,40.2,
2175,Belfaux,La Sarine,3.26,3452.0,145.0,4.2,30.4,,,19.1,35.9,30.3,30.4,
2262,Gurmels,See,1.08,4675.0,189.0,4.0,39.9,,,15.1,34.2,45.6,39.9,
